name,city,callsign,locator
Scouting Jorisgroep Oudewater,Oudewater,PA9T,JO22KA
Scouting Uitgeest Don Bosco,Uitgeest,PB0MV,JO22IM
Scouting Amicus,Heerlen,PB1HF,JO20XV
Scouting Stratum,Eindhoven,PB7PH,JO21RJ
De Vundelaar,Twello,PC1MH,JO32BF
Neil Armstrong Scouting Groep,Geldrop,PC5D,JO21SK
De Drones,Drachten,PC5E,JO33BC
Scouting Charlois Rotterdam,Rotterdam,PD010SCR,JO21fv
Scouting Lord Baden-Powell,Tilburg,PD0MVZ,JO21NN
Scouting Willem de Zwijger,Delft,PD0OPC,JO22EA
Admiraal Kruys Groep I,Vriezenveen,PD0RV,32HJ57
St. Sc.Clifford Reichert,Lopik,PD0SOT,JO21LX
Angela,Heerhugowaard,PD0WDV,JO22KP
Scouting St. Jan Baptist (Scouting Heerlen),Heerlen,PD100SJB,JO20XV
Duco van Martena,Leeuwarden,PD1JAS,JO23WE
Reggegroep,Nijverdal,PD1JSH,JO32FI
Scoutinggroep St. Jan,Rucphen,PD1MVN,JO21GM
Scouting Ernst van Kempengroep,Baarn,PD2ODR,2odr
Thorheimgroep Doorn,Doorn,PD3FZQ,JO22QB
Zona,Warnsveld,pd3hi,JO32cd
Scouting The Challenge,Tilburg,PD5WSQ,JO21NN
De Geuzen,Alkmaar,PD6GEUS,JO22IP
Willem-Alexander,Harmelen,PD7SV,JO22LB
Scoutinggroep President Steyn,Diepenveen,PE0RvA,JO32BG
Die Robben,Wieringerwerf,PE1-PPB,JO22MU
St. Scouting Peka 18,Utrecht,PE18KA,JO
Scouting Han Jordaan,Haaksbergen,PE1AST,JO32ID
scoutinggroep Renatum 57,Zwolle,PE1AZZ,JO32
Karel Doorman Groep,Zutphen,PE1BBG,JO32CD
Guy de Fontgalland,Ter Apel,PE1BBY,JO32MV
Scouting Texel,Den Burg,PE1BOJ,JO23IA
Scoutinggroep Munstergeleen,Munstergeleen,PE1EEC,JO20WX
Scouting Batenstein,Vianen (U),PE1FYH,JO21NX
Erica,Bussum,PE1GDP,JO22NG
van Wassenaer van Obdam,Wassenaar,PE1KFC,JO22ED
LOAAH groep,Schalkhaar,PE1LMD,JO32CG
Scouting Rurik Heiloo,Heiloo,PE1LSV,22io33
Scouting Prinses Irene,Roosendaal,PE1NGS,JO21FM
Scouting Woezik,Wijchen,PE1NIB,JO21UT
Scouting Willibrordus,Gemert,PE1NIL,JO21UN
Scouting Jan Wandelaar,Zeewolde,PE1NKE,JO22SH
Graaf Otto Groep,Lochem,PE1OJZ,32ED74
SCOUTING HASSELO,Hengelo (O),PE1ORG,JO32JG
Scouting Hoogeveen,Hoogeveen,PE1OTK,JO32fr
Lisser Kaninefaten,Lisse,PE1OXI,JO22GG
St. Jacobusgroep,Akersloot,PE1PAB,JO22IN
Vereniging Scouting Miguel Pro Raalte,Raalte,PE1PBQ,JO32DJ
Scouting Rhenova,Vleuten,PE1PZU,JO22MC
Osbornegroep,Biddinghuizen,pe1rf,JO22uk
scouting jan joosten,Ouddorp,PE1RNL,JO11XT
Scouting Aarle-Rixtel,Aarle-Rixtel,PE1ROK,JO21tm
Hanzeluiden,Kampen,PE1RZU,JO22WN
Scouting Aalst-Waalre,Waalre,PE2AAB,JO21RJ
Scouting vereniging Ugchelse Woudlopers,Ugchelen,PE2CJ,JO22XE
st sc Honselersdijk,Honselersdijk,PE2MB,JO22CA
Scouting Twickel Borne,Ambt Delden,PE2MGA,JO32IG
Scouting Leonardus,Helmond,PE2WGV,JO21UL
st patrick/ jeanne d'arc,Hengelo (O),PE60JP,JO32JG
Sc.Burg.Welschen Meerhoven,Eindhoven,PE6SBW,JO21rk
Scoutinggroep Graaf Daron,Alkmaar,PE7EB,JO22JP
Scouting Hilfertheem - 1e Hilversumsche Groep,Hilversum,PE7M,JO22NF
Sint Monulphusgroep,Berg en Terblijt,PE8OHM,JO20VV
scouting st paulus venlo,Venlo,PE9GRC,JO31BI
Maurice Flacard,Vlijmen,PE9RIK,JO21OQ
Scouting Jan Campert Groep,Tienhoven (U),PG6JC,JO22MD
Scouting Buys Ballot Epe/Heerde,Heerde,PH6BB,JO32AJ
St. Bonifaasgroep Rijen,Rijen,PH7GIS,JO21KO
Graaf Folke Bernadotte,Eindhoven,PH9GFB,JO21sk
Scouting Doornakkers,Eindhoven,PH9Z,JO21GK
Scouting Jutters Willemsoord,Den Helder,PI4ADH,JO22JW
De Borgergroep,Joure,PI4BG,JO22xw
Pieter Maritz,Ede,PI4CQ,JO22TB
Thomas Estill Schoch de Ravallet,Dordrecht,PI4DEC,JO21IT
BA-OW groep,Beetsterzwaag,pi4eme/J,JO33BB
st jan,Wateringen,PI4HGL,JO22DA
Scouting Assendelft,Assendelft,PI4RSA,JO22IL
St Hubertus Terwinselen,Kerkrade,PI4RSL,JO20WX
bolster groep,Riel,PI4SBR,JO21mm
Kornet van Limburg Stirum Olst Wijhe,Olst,PI4SDH,JO32BI
Scouting Hellevoetsluis,Hellevoetsluis,PI4SHV,JO21BT
Hartelgroep,Spijkenisse,PI4SRN,JO21ET
Dirck Rembrantsz Groep Scouting Niedorp,Nieuwe Niedorp,Pi4TX,JO22KR
scouting puttershoek,Puttershoek,PI4VHW,JO21GT
Thomas More groep,Prinsenbeek,PI9TP,JO21IO
